Date,NO WAY,NAH,MAYBE,PROBS,OH YEAH DEF!
20171213,1,,,,
20171213,,,1,,
20171213,,,1,,
20171213,,,1,,
20171213,1,,,,
20171214,1,,,,
20171215,,1,,,
20171216,,,,,1
20171217,,,,,1
20171218,,,,,1
20171219,,,,,1
20171220,,1,,,
20171221,1,,,,
20171222,,,,1,
20171223,,,,1,
20171224,,,,1,
20171225,1,,,,
20171226,,1,,,
20171227,,,1,,
20171228,,,1,,
20171229,,,1,,
20171230,,1,,,
20171231,,1,,,
20180101,1,,,,
20180102,,,1,,
20180103,,,1,,
20180104,1,,,,
20180105,,1,,,
20180106,,,,,1
20180107,,,,,1
20180108,,,,,1
20180109,,,,,1
20180110,,1,,,
20180111,,,,1,
20180112,1,,,,
20180113,,,,1,
20180114,,,,1,
20180115,,,,1,
20180116,,1,,,
20180117,1,,,,
20180118,,1,,,
20180119,1,,,,
Color,#000000,#000000,#000000,#000000,#FFFFFF